Setup,Learning Mode,Punishment,Alpha,Beta,Average Loss,Last Epoch Loss,is Loss min,Task Converge,Task Fail Percentage,Safe Converge,Safe Fail Percentage,Average Time,Last Epoch Time,Average Energy,Last Epoch Energy,Average Reward,Total Reward,First 10 Avg Time,Mid 10 Avg Time,Last 10 Avg Time,First 10 Avg Energy,Mid 10 Avg Energy,Last 10 Avg Energy,"First 10 (total, task, safe) Fail","Mid 10 (total, task, safe) Fail","Last 10 (total, task, safe) Fail"
0,1,100,0.4,0.6,-4.55135,-8.176974,0,9962,0.0661933806619338,9893,0.0398960103989601,0.3210591156196826,0.3309951738333332,0.0140642788029591,0.0162790875041565,-0.1982611808929925,-2.0510873930166262,0.1351100309607857,0.3894214195,0.3155696566958333,0.0391901573711905,0.0087368133992865,0.0108745953406454,"[11, 0.6, 0.5]","[0, 0.0, 0.0]","[0, 0.0, 0.0]"
0,1,100,1.0,10.0,-73.70918,-137.25012,0,9905,0.0633936606339366,9376,0.0363963603639636,0.3252796268283129,0.2872204424999999,0.0133674940361601,0.007794852337602,-3.2661637623192923,-28.79999277337602,0.1076851524260476,0.3739845122499999,0.3559295173633333,0.0534501758476771,0.0089724597223974,0.0103598648925043,"[10, 0.8, 0.2]","[0, 0.0, 0.0]","[0, 0.0, 0.0]"
0,1,100,0.5,0.5,-3.5353851,-5.3056173,0,9516,0.0653934606539346,9724,0.0362963703629637,0.3221753085896025,0.24207637875,0.0136852660407228,0.0092894393106231,-0.1679302873151629,-1.2568290903031158,0.1158973342516666,0.3826101485625,0.4080797935,0.0471010679482823,0.0099684960920485,0.0082333092385259,"[15, 1.1, 0.4]","[0, 0.0, 0.0]","[0, 0.0, 0.0]"
0,1,100,1.0,1.0,-7.026489,-7.9502435,0,9803,0.0678932106789321,9785,0.0404959504049595,0.3161946783907117,0.2066510299471429,0.0145368932002175,0.0224292450955332,-0.3307315715909288,-2.290802750426761,0.1453411690089524,0.3663629459408333,0.3470441007447142,0.0489536491226189,0.0109062640920968,0.0101032283910281,"[11, 0.8, 0.3]","[0, 0.0, 0.0]","[0, 0.0, 0.0]"
0,1,1000,1.0,2.0,-16.163519,-17.33089,0,9752,0.0635936406359364,9992,0.035996400359964,0.3211192476745015,0.2339561849999999,0.0136939967124746,0.0082153661390304,-0.655932492061479,-4.761277361390304,0.1292469376129524,0.4163937768649999,0.3598370683749999,0.042442081394988,0.0101895640875883,0.0085795938159384,"[14, 0.9, 0.5]","[0, 0.0, 0.0]","[1, 0.0, 0.1]"
0,1,1000,0.2,0.8,-6.351838,-6.543402,0,9356,0.0637936206379362,9779,0.0391960803919608,0.2923764510379746,0.2759596099999999,0.0149663919975976,0.0078654806612466,-0.2368944392298989,-2.223407841322494,0.1474424950504524,0.3476608323366666,0.28609571525,0.0451629023780595,0.0107357034906745,0.0106397646576915,"[12, 0.8, 0.4]","[0, 0.0, 0.0]","[0, 0.0, 0.0]"
0,1,1000,1.0,5.0,-35.89526,-42.963387,0,9687,0.0625937406259374,9734,0.0360963903609639,0.3222368902293573,0.3083190494333334,0.0138156094446222,0.0189325557074998,-1.6250000605914168,-15.605278028741663,0.1410197147916428,0.397824452,0.304644227598881,0.0360071641463297,0.008500434461091,0.0129816045127124,"[16, 1.1, 0.5]","[0, 0.0, 0.0]","[0, 0.0, 0.0]"
0,1,1000,0.4,0.6,-6.0881324,-9.768293,0,9795,0.0640935906409359,9959,0.0396960303969603,0.3215542390212788,0.36825516,0.0142357645873496,0.0066384189079443,-0.1986268492477075,-2.2360846356317774,0.1837565439196904,0.3265337582060714,0.3592440472499999,0.0444923921712519,0.0131443836227896,0.0086274808176574,"[13, 0.6, 0.7]","[0, 0.0, 0.0]","[0, 0.0, 0.0]"
0,1,1000,1.0,10.0,-68.71177,-169.82184,0,9868,0.0616938306169383,9642,0.0368963103689631,0.3216636826766719,0.3712745975,0.0139613017892743,0.0067603871781865,-3.2305981285559886,-37.19506362178187,0.1180170094115714,0.363766539,0.38927916325,0.0426429055505673,0.0089793719342908,0.008318881937454,"[8, 0.6, 0.2]","[0, 0.0, 0.0]","[0, 0.0, 0.0]"
0,1,1000,0.5,0.5,-5.350434,-4.842103,0,9985,0.05999400059994,9039,0.0358964103589641,0.3216226797419209,0.3147447725,0.0136345984934417,0.0076575060117989,-0.1676286391176813,-1.612011392558995,0.1871441361479285,0.3145777958223571,0.323899262,0.0375472944514734,0.0133756055489918,0.0090559791382159,"[11, 0.6, 0.5]","[0, 0.0, 0.0]","[0, 0.0, 0.0]"
