Setup,Learning Mode,Punishment,Alpha,Beta,Average Loss,Last Epoch Loss,Task Converge,Task Fail Percentage,Safe Converge,Safe Fail Percentage,Average Time,Last Epoch Time,Average Energy,Last Epoch Energy,Average Reward,Last Epoch Reward,First 10 Avg Time,Mid 10 Avg Time,Last 10 Avg Time,First 10 Avg Energy,Mid 10 Avg Energy,Last 10 Avg Energy,First 10 Avg Reward,Mid 10 Avg Reward,Last 10 Avg Reward,First 10 Avg Loss,Mid 10 Avg Loss,Last 10 Avg Loss,"First 10 (total, task, safe) Fail","Mid 10 (total, task, safe) Fail","Last 10 (total, task, safe) Fail"
4,1,-183293000,1,1,tensor(-10015691.),-176.69003295898438,372,0.1006798640271945,534,0.0118976204759048,0.1417699980001995,0.1572499999999999,2.3540241518551803,2.6687580552155525,-3684155.9882817087,-99.72567061318792,0.1059498809523809,0.1529458333333333,0.1417719864544757,2.2213109490898564,3.036340610437723,2.35418955769428,-105780377.29227926,-824.1236908082768,-3687843.155152108,-230489844.8,-1469.3939392089844,-10026417.837435296,0.2,0.0,0.0126601281024817
4,1,-183293000,1,1,tensor(-10015691.),-176.69003295898438,372,0.1006798640271945,534,0.0118976204759048,0.1417699980001995,0.1572499999999999,2.3540241518551803,2.6687580552155525,-3684155.9882817087,-99.72567061318792,0.1059498809523809,0.1529458333333333,0.1417719864544757,2.2213109490898564,3.036340610437723,2.35418955769428,-105780377.29227926,-824.1236908082768,-3687843.155152108,-230489844.8,-1469.3939392089844,-10026417.837435296,0.01,0.0,0.0012409927942353
5,1,-75,1,1,tensor(-0.9354),0.2476745098829269,725,0.0600879824035193,203,0.0068986202759448,0.1551425401507524,0.125,0.513420167703399,0.0620093469888778,0.0826189194807962,0.8294363031858669,0.1307978571428571,0.1680791666666666,0.1551658286505473,1.851405223010818,0.1280971846268738,0.5138715928423426,-7.826433865991237,0.7793643641425757,0.0818771228835079,-17.056471848487853,0.9259671211242676,-0.9368297149619352,0.1,0.0,0.0084667734187349
5,1,-75,1,1,tensor(-0.9354),0.2476745098829269,725,0.0600879824035193,203,0.0068986202759448,0.1551425401507524,0.125,0.513420167703399,0.0620093469888778,0.0826189194807962,0.8294363031858669,0.1307978571428571,0.1680791666666666,0.1551658286505473,1.851405223010818,0.1280971846268738,0.5138715928423426,-7.826433865991237,0.7793643641425757,0.0818771228835079,-17.056471848487853,0.9259671211242676,-0.9368297149619352,0.1,0.0,0.0077662129703762
5,1,-75,1,1,tensor(-0.9354),0.2476745098829269,725,0.0600879824035193,203,0.0068986202759448,0.1551425401507524,0.125,0.513420167703399,0.0620093469888778,0.0826189194807962,0.8294363031858669,0.1307978571428571,0.1680791666666666,0.1551658286505473,1.851405223010818,0.1280971846268738,0.5138715928423426,-7.826433865991237,0.7793643641425757,0.0818771228835079,-17.056471848487853,0.9259671211242676,-0.9368297149619352,0.0,0.0,0.0007005604483586
6,1,-150,1,1,tensor(-2.2505),1.2550270557403564,112,0.058488302339532,2322,0.0075984803039392,0.1434045513305846,0.125,0.333875136312702,0.0624787708668027,0.1349703430510488,1.6743514707401077,0.1161083333333333,0.1328125,0.1434229724609291,1.7798984729400922,0.0750266219220597,0.3341482770593686,-22.469635456808195,1.610922253784039,0.1334216192429266,-48.96051104366779,1.423678743839264,-2.2534631819132223,0.13,0.0,0.0082766212970375
6,1,-150,1,1,tensor(-2.2505),1.2550270557403564,112,0.058488302339532,2322,0.0075984803039392,0.1434045513305846,0.125,0.333875136312702,0.0624787708668027,0.1349703430510488,1.6743514707401077,0.1161083333333333,0.1328125,0.1434229724609291,1.7798984729400922,0.0750266219220597,0.3341482770593686,-22.469635456808195,1.610922253784039,0.1334216192429266,-48.96051104366779,1.423678743839264,-2.2534631819132223,0.13,0.0,0.007506004803843
6,1,-150,1,1,tensor(-2.2505),1.2550270557403564,112,0.058488302339532,2322,0.0075984803039392,0.1434045513305846,0.125,0.333875136312702,0.0624787708668027,0.1349703430510488,1.6743514707401077,0.1161083333333333,0.1328125,0.1434229724609291,1.7798984729400922,0.0750266219220597,0.3341482770593686,-22.469635456808195,1.610922253784039,0.1334216192429266,-48.96051104366779,1.423678743839264,-2.2534631819132223,0.0,0.0,0.0007706164931945
7,1,-100,1,1,tensor(-4.2948),-0.047540970146656036,568,0.05708858228354329,5164,0.00629874025194961,0.1805346612957786,0.1375,0.1963051299142058,0.06619370436102656,-1.6190003389629992,-0.04208913909230633,0.11757702380952381,0.1728125,0.18057679637864554,2.896101869237892,0.089340861056689,0.19642214789119475,-27.677692558080672,-0.08576087008027862,-1.6205663020128342,-60.3065281867981,-0.1579601936042309,-4.299008540902744,0.05,0.0,0.008106485188150474
7,1,-100,1,1,tensor(-4.2948),-0.047540970146656036,568,0.05708858228354329,5164,0.00629874025194961,0.1805346612957786,0.1375,0.1963051299142058,0.06619370436102656,-1.6190003389629992,-0.04208913909230633,0.11757702380952381,0.1728125,0.18057679637864554,2.896101869237892,0.089340861056689,0.19642214789119475,-27.677692558080672,-0.08576087008027862,-1.6205663020128342,-60.3065281867981,-0.1579601936042309,-4.299008540902744,0.05,0.0,0.007445956765412319
